Date,SRI12,Year,Month,Day
1/1/2001,NaN,2001,1,1
2/1/2001,NaN,2001,2,1
3/1/2001,NaN,2001,3,1
4/1/2001,NaN,2001,4,1
5/1/2001,NaN,2001,5,1
6/1/2001,NaN,2001,6,1
7/1/2001,NaN,2001,7,1
8/1/2001,NaN,2001,8,1
9/1/2001,NaN,2001,9,1
10/1/2001,NaN,2001,10,1
11/1/2001,NaN,2001,11,1
12/1/2001,0.551063773,2001,12,1
1/1/2002,0.504818196,2002,1,1
2/1/2002,0.504818196,2002,2,1
3/1/2002,0.353035522,2002,3,1
4/1/2002,0.209014286,2002,4,1
5/1/2002,-0.06922269,2002,5,1
6/1/2002,-0.06922269,2002,6,1
7/1/2002,0.06922269,2002,7,1
8/1/2002,-0.504818196,2002,8,1
9/1/2002,-0.209014286,2002,9,1
10/1/2002,-0.06922269,2002,10,1
11/1/2002,-0.209014286,2002,11,1
12/1/2002,-0.13147762,2002,12,1
1/1/2003,-0.353035522,2003,1,1
2/1/2003,-0.209014286,2003,2,1
3/1/2003,-0.209014286,2003,3,1
4/1/2003,-0.209014286,2003,4,1
5/1/2003,-0.209014286,2003,5,1
6/1/2003,-0.209014286,2003,6,1
7/1/2003,-0.06922269,2003,7,1
8/1/2003,-0.353035522,2003,8,1
9/1/2003,-0.353035522,2003,9,1
10/1/2003,0.209014286,2003,10,1
11/1/2003,0.209014286,2003,11,1
12/1/2003,0.265278431,2003,12,1
1/1/2004,0.209014286,2004,1,1
2/1/2004,0.209014286,2004,2,1
3/1/2004,0.06922269,2004,3,1
4/1/2004,0.06922269,2004,4,1
5/1/2004,0.06922269,2004,5,1
6/1/2004,0.669288818,2004,6,1
7/1/2004,0.669288818,2004,7,1
8/1/2004,0.669288818,2004,8,1
9/1/2004,0.209014286,2004,9,1
10/1/2004,-0.209014286,2004,10,1
11/1/2004,-0.854305064,2004,11,1
12/1/2004,-1.108183844,2004,12,1
1/1/2005,-1.074584697,2005,1,1
2/1/2005,-1.074584697,2005,2,1
3/1/2005,-1.074584697,2005,3,1
4/1/2005,-1.074584697,2005,4,1
5/1/2005,-1.074584697,2005,5,1
6/1/2005,-1.365215174,2005,6,1
7/1/2005,-1.365215174,2005,7,1
8/1/2005,-1.074584697,2005,8,1
9/1/2005,-0.854305064,2005,9,1
10/1/2005,-0.669288818,2005,10,1
11/1/2005,0.06922269,2005,11,1
12/1/2005,0.13147762,2005,12,1
1/1/2006,0.06922269,2006,1,1
2/1/2006,0.06922269,2006,2,1
3/1/2006,0.209014286,2006,3,1
4/1/2006,0.504818196,2006,4,1
5/1/2006,0.854305064,2006,5,1
6/1/2006,1.074584697,2006,6,1
7/1/2006,1.074584697,2006,7,1
8/1/2006,1.074584697,2006,8,1
9/1/2006,1.365215174,2006,9,1
10/1/2006,1.365215174,2006,10,1
11/1/2006,1.074584697,2006,11,1
12/1/2006,0.892014916,2006,12,1
1/1/2007,0.854305064,2007,1,1
2/1/2007,0.854305064,2007,2,1
3/1/2007,0.669288818,2007,3,1
4/1/2007,0.353035522,2007,4,1
5/1/2007,0.209014286,2007,5,1
6/1/2007,0.209014286,2007,6,1
7/1/2007,-0.209014286,2007,7,1
8/1/2007,0.209014286,2007,8,1
9/1/2007,-0.06922269,2007,9,1
10/1/2007,0.353035522,2007,10,1
11/1/2007,1.365215174,2007,11,1
12/1/2007,1.394456104,2007,12,1
1/1/2008,1.365215174,2008,1,1
2/1/2008,1.365215174,2008,2,1
3/1/2008,1.365215174,2008,3,1
4/1/2008,1.365215174,2008,4,1
5/1/2008,1.867655146,2008,5,1
6/1/2008,1.867655146,2008,6,1
7/1/2008,1.867655146,2008,7,1
8/1/2008,0.854305064,2008,8,1
9/1/2008,0.504818196,2008,9,1
10/1/2008,0.06922269,2008,10,1
11/1/2008,-0.353035522,2008,11,1
12/1/2008,-0.551063773,2008,12,1
1/1/2009,-0.669288818,2009,1,1
2/1/2009,-0.669288818,2009,2,1
3/1/2009,-0.669288818,2009,3,1
4/1/2009,-0.669288818,2009,4,1
5/1/2009,-0.353035522,2009,5,1
6/1/2009,-0.504818196,2009,6,1
7/1/2009,0.504818196,2009,7,1
8/1/2009,0.504818196,2009,8,1
9/1/2009,1.867655146,2009,9,1
10/1/2009,1.867655146,2009,10,1
11/1/2009,1.867655146,2009,11,1
12/1/2009,1.891351743,2009,12,1
1/1/2010,1.867655146,2010,1,1
2/1/2010,1.867655146,2010,2,1
3/1/2010,1.867655146,2010,3,1
4/1/2010,1.867655146,2010,4,1
5/1/2010,1.365215174,2010,5,1
6/1/2010,1.365215174,2010,6,1
7/1/2010,0.353035522,2010,7,1
8/1/2010,-0.06922269,2010,8,1
9/1/2010,-1.074584697,2010,9,1
10/1/2010,-1.365215174,2010,10,1
11/1/2010,-1.365215174,2010,11,1
12/1/2010,-1.394456104,2010,12,1
1/1/2011,-1.365215174,2011,1,1
2/1/2011,-1.365215174,2011,2,1
3/1/2011,-1.365215174,2011,3,1
4/1/2011,-1.365215174,2011,4,1
5/1/2011,-1.365215174,2011,5,1
6/1/2011,-1.074584697,2011,6,1
7/1/2011,-0.669288818,2011,7,1
8/1/2011,-0.209014286,2011,8,1
9/1/2011,0.353035522,2011,9,1
10/1/2011,1.074584697,2011,10,1
11/1/2011,0.353035522,2011,11,1
12/1/2011,0.404027539,2011,12,1
1/1/2012,0.353035522,2012,1,1
2/1/2012,0.353035522,2012,2,1
3/1/2012,0.504818196,2012,3,1
4/1/2012,0.854305064,2012,4,1
5/1/2012,0.669288818,2012,5,1
6/1/2012,0.353035522,2012,6,1
7/1/2012,0.209014286,2012,7,1
8/1/2012,0.06922269,2012,8,1
9/1/2012,0.06922269,2012,9,1
10/1/2012,-0.353035522,2012,10,1
11/1/2012,-0.504818196,2012,11,1
12/1/2012,-0.711156199,2012,12,1
1/1/2013,-0.854305064,2013,1,1
2/1/2013,-0.854305064,2013,2,1
3/1/2013,-0.854305064,2013,3,1
4/1/2013,-0.854305064,2013,4,1
5/1/2013,-0.854305064,2013,5,1
6/1/2013,-0.854305064,2013,6,1
7/1/2013,-0.854305064,2013,7,1
8/1/2013,-0.854305064,2013,8,1
9/1/2013,-0.504818196,2013,9,1
10/1/2013,-0.504818196,2013,10,1
11/1/2013,-0.06922269,2013,11,1
12/1/2013,-0.265278431,2013,12,1
1/1/2014,-0.504818196,2014,1,1
2/1/2014,-0.353035522,2014,2,1
3/1/2014,-0.353035522,2014,3,1
4/1/2014,-0.353035522,2014,4,1
5/1/2014,-0.504818196,2014,5,1
6/1/2014,0.06922269,2014,6,1
7/1/2014,0.854305064,2014,7,1
8/1/2014,1.867655146,2014,8,1
9/1/2014,0.669288818,2014,9,1
10/1/2014,0.504818196,2014,10,1
11/1/2014,0.504818196,2014,11,1
12/1/2014,0.711156199,2014,12,1
1/1/2015,0.669288818,2015,1,1
2/1/2015,0.669288818,2015,2,1
3/1/2015,0.854305064,2015,3,1
4/1/2015,0.669288818,2015,4,1
5/1/2015,0.353035522,2015,5,1
6/1/2015,-0.353035522,2015,6,1
7/1/2015,-1.074584697,2015,7,1
8/1/2015,-1.365215174,2015,8,1
9/1/2015,-1.867655146,2015,9,1
10/1/2015,-1.867655146,2015,10,1
11/1/2015,-1.867655146,2015,11,1
12/1/2015,-1.891351743,2015,12,1
1/1/2016,-1.867655146,2016,1,1
2/1/2016,-1.867655146,2016,2,1
3/1/2016,-1.867655146,2016,3,1
4/1/2016,-1.867655146,2016,4,1
5/1/2016,-1.867655146,2016,5,1
6/1/2016,-1.867655146,2016,6,1
7/1/2016,-1.867655146,2016,7,1
8/1/2016,-1.867655146,2016,8,1
9/1/2016,-1.365215174,2016,9,1
10/1/2016,-1.074584697,2016,10,1
11/1/2016,-1.074584697,2016,11,1
12/1/2016,-0.404027539,2016,12,1
1/1/2017,-0.06922269,2017,1,1
2/1/2017,-0.06922269,2017,2,1
3/1/2017,-0.06922269,2017,3,1
